model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
s0_size10064_originalsize10064,2.792652369,2.779484272,0.001611548,2.791040897,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.719670057,2.700984955,0.002299262,2.717370749,0.001731864,1,0.990061679,0.99635579
s0_size10064_originalsize10064,2.79083252,2.787959099,0.001162036,2.789670467,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.801069975,2.809512138,0.000788865,2.800281048,0.00024292,1,0.99642685,0.996967257
s0_size10064_originalsize10064,2.792543173,2.81890893,0.001650093,2.790893078,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.906765223,2.929404259,0.002165669,2.904599667,0.000794382,1,0.991675331,0.991972047
s0_size10064_originalsize10064,2.790831804,2.795761585,0.001134166,2.789697647,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.879436731,2.862781525,0.00139697,2.878039837,0.000966073,1,0.993407328,0.995765364
s0_size10064_originalsize10064,2.790036201,2.78701067,0.001064116,2.788972139,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.851999521,2.848145485,0.00093811,2.851061344,0.000532638,1,0.995603751,0.99601699
s0_size10064_originalsize10064,2.789386749,2.786462545,0.000989507,2.788397312,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.767175913,2.773609161,0.000506281,2.76666975,0.000689195,1,0.997925766,0.998456856
s0_size10064_originalsize10064,2.790604353,2.780105829,0.001402,2.789202452,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.856387615,2.848546028,0.00104282,2.855344772,0.000837079,1,0.995124902,0.992876011
s0_size10064_originalsize10064,2.789946556,2.785370827,0.001087522,2.788859129,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.839256763,2.856963634,0.001581689,2.837675095,0.001907406,1,0.993001599,0.994568124
s0_size10064_originalsize10064,2.789215088,2.803003073,0.000975064,2.788239956,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.840742826,2.856579781,0.000967944,2.839774847,0.000626435,1,0.99628176,0.996263199
s0_size10064_originalsize10064,2.801446438,2.868725538,0.005225851,2.796220541,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.769956589,2.790793896,0.000999522,2.768957138,0.004691543,1,0.995888965,0.986193133
s0_size10064_originalsize10064,2.79237771,2.77376914,0.003625833,2.788751841,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.803146362,2.777235508,0.005486861,2.797659397,0.002426521,1,0.975054263,0.984206316
s0_size10064_originalsize10064,2.788961411,2.788315296,0.000966325,2.7879951,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.826000452,2.839394331,0.002005906,2.823994637,0.001184911,1,0.990922783,0.995809389
s0_size10064_originalsize10064,2.790071726,2.805216551,0.001795806,2.788275957,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.794944048,2.802490234,0.001109508,2.793834448,0.001209797,1,0.995586157,0.991444598
s0_size10064_originalsize10064,2.788650274,2.788159609,0.00091366,2.787736654,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.90365696,2.923496246,0.000561184,2.903095722,0.001036787,1,0.997363359,0.996863519
s0_size10064_originalsize10064,2.7869277,2.794896126,0.000716124,2.786211491,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.830090523,2.838377476,0.000785764,2.829304695,0.000317889,1,0.996359153,0.996682007
s0_size10064_originalsize10064,2.786907196,2.785656929,0.000722058,2.786185026,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.659773827,2.671563148,0.000899095,2.65887475,0.000378982,1,0.996143214,0.996522863
s0_size10064_originalsize10064,2.78647089,2.796056986,0.000807333,2.785663605,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.898079634,2.904348373,0.000759839,2.897319794,0.000384249,1,0.996616244,0.996789242
s0_size10064_originalsize10064,2.786127329,2.783024788,0.000838869,2.785288572,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.874660015,2.872362614,0.000825918,2.873834133,0.00034345,1,0.996102326,0.995928585
s0_size10064_originalsize10064,2.78586483,2.792018652,0.000800672,2.78506422,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.812116861,2.802144766,0.000866633,2.81125021,0.000925817,1,0.99602095,0.997480385
s0_size10064_originalsize10064,2.785948992,2.777793407,0.001030182,2.784918785,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.837157011,2.848725796,0.000346964,2.836810112,0.000977862,1,0.998391579,0.998650411
s0_size10064_originalsize10064,2.785362482,2.786937952,0.00075822,2.784604311,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.762162685,2.768722534,0.000447861,2.761714935,0.000354529,1,0.998040979,0.99807769
s0_size10064_originalsize10064,2.784685612,2.78952527,0.000713225,2.783972502,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.811134815,2.795791626,0.002387989,2.808746815,0.00054457,1,0.989083516,0.989058821
s0_size10064_originalsize10064,2.786907434,2.769824982,0.001233501,2.785673857,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.669456959,2.671303988,0.000216304,2.669240713,0.000311782,1,0.999057471,0.999149788
s0_size10064_originalsize10064,2.785660982,2.7768929,0.001217463,2.784443617,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.880444765,2.889089823,0.000477102,2.87996769,0.000288495,1,0.997725859,0.996893498
s0_size10064_originalsize10064,2.784738541,2.783600807,0.000734167,2.78400445,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.784522057,2.791013241,0.000241318,2.784280777,0.000146286,1,0.99908006,0.998964766
s0_size10064_originalsize10064,2.783872604,2.782485247,0.000693803,2.783178806,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.778649807,2.785419226,0.000307052,2.778342724,0.000199785,1,0.99904867,0.999048869
